raw_feature,importance_mean,importance_std
job_category,51348.784088730055,1765.3370966367763
years_of_experience,12566.284464038325,462.9728761921413
demand_score,75.60217725351929,109.96021742651666
city,16.940291780059244,213.62373435310963
country,1.5932885098985328,43.03252020117626
education_required,-25.387669278272977,29.038601757580622
company_size,-43.43352358553724,38.78151060160611
industry,-100.89460601541153,152.30726581387904
skill_count,-102.42762726336271,39.92944700627533
benefits_score_10,-103.4302010194612,57.82106719858348
job_title,-137.9773223607111,92.59496386478081
required_skills,-156.34902331076714,254.13015415677646
remote_work,-156.67140734607105,45.3287927157141
